Date : 2025-01-27 17:55:28
Directory : /home/manuareraa/Manu/github/exira/platform/frontend
Total : 118 files,  21570 codes, 127 comments, 1029 blanks, all 22726 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/placeholder-logo.svg                                   | XML                |          1 |          0 |          0 |          1 |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/placeholder.svg                                        | XML                |          1 |          0 |          0 |          1 |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/solana.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/sui.svg                                                | XML                |         14 |          0 |          0 |         14 |
| /home/manuareraa/Manu/github/exira/platform/frontend/styles/globals.css                                            | CSS                |         90 |          0 |          5 |         95 |
| /home/manuareraa/Manu/github/exira/platform/frontend/styles/theme.ts                                               | TypeScript         |         31 |          0 |          4 |         35 |
| /home/manuareraa/Manu/github/exira/platform/frontend/tailwind.config.ts                                            | TypeScript         |         95 |          0 |          2 |         97 |
| /home/manuareraa/Manu/github/exira/platform/frontend/tsconfig.json                                                 | JSON with Comments |         27 |          0 |          1 |         28 |
| /home/manuareraa/Manu/github/exira/platform/frontend/types/portfolio.ts                                            | TypeScript         |         36 |          0 |          6 |         42 |
| /home/manuareraa/Manu/github/exira/platform/frontend/types/transaction.ts                                          | TypeScript         |         36 |          0 |          5 |         41 |
| Total                                                                                                              |                    |     21,570 |        127 |      1,029 |     22,726 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
