"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/manuareraa/Manu/github/exira/platform/frontend/package.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"/home/manuareraa/Manu/github/exira/platform/frontend/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"/home/manuareraa/Manu/github/exira/platform/frontend/public/ethereum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 48
"/home/manuareraa/Manu/github/exira/platform/frontend/public/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/home/manuareraa/Manu/github/exira/platform/frontend/public/placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/manuareraa/Manu/github/exira/platform/frontend/public/placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/manuareraa/Manu/github/exira/platform/frontend/public/solana.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/manuareraa/Manu/github/exira/platform/frontend/public/sui.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"/home/manuareraa/Manu/github/exira/platform/frontend/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 5, 95
"/home/manuareraa/Manu/github/exira/platform/frontend/styles/theme.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"/home/manuareraa/Manu/github/exira/platform/frontend/tailwind.config.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 2, 97
"/home/manuareraa/Manu/github/exira/platform/frontend/tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/home/manuareraa/Manu/github/exira/platform/frontend/types/portfolio.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"/home/manuareraa/Manu/github/exira/platform/frontend/types/transaction.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"Total", "-", 13342, 27, 1201, 47, 23, 6679, 180, 71, 127, 1029, 22726
